data_code,2010,2011,2012,2013,2014,2015,2016,2017,2018
816,2,6652,10484,13840,19858,24894,33124,40633,52426
817,2,2673,4380,6721,11119,15035,21140,27180,31879
818,0,1349,2325,4356,7731,11653,16779,22795,26018
825,0,1329,2275,3356,5760,8112,12020,15347,18601
826,0,398,743,2047,4545,6317,10171,13096,15719
827,0,347,719,1205,2450,4652,7846,11085,12443
830,1,3338,5106,6297,11765,13286,17675,23289,32296
831,1,2660,4035,5278,9279,11634,16885,22114,27970
832,1,2184,3664,4011,6215,7993,10881,14045,16222
833,1,3160,5058,4774,8861,12600,17322,22769,27481
834,0,555,1216,2282,4094,5959,9497,12409,15423
835,0,896,1350,1822,3258,4717,6606,9221,14018
836,0,0,0,0,0,0,0,1301,3436
837,0,0,0,0,0,261,343,2141,3765
838,1,3450,5256,8078,12054,15858,21177,26367,33939
839,0,548,974,1436,3377,5474,8179,10044,14648
851,2,17714,30686,43835,66420,89469,128792,192518,228096
852,54,168318,186547,199809,238460,252591,317098,379754,436678
853,1,2005,2392,3255,3397,4281,5080,5522,5193
854,0,348,772,1387,3833,6817,13166,17567,23831
855,0,510,1219,1957,3886,6912,12147,15465,18459
856,0,0,538,1243,3222,6256,11940,14037,17099
857,0,257,660,1559,4049,7413,13553,17231,18879
858,1,662,1551,2517,3823,5635,10161,11695,13605
859,0,0,535,1322,3197,5192,25618,11756,13896
870,0,0,17,521,1673,5328,5082,7081,11032
871,16,30866,47528,72134,106405,130796,205958,231066,304637
872,0,1047,1992,3372,5773,7408,12094,17484,21319
873,0,688,1374,2483,7051,11114,16392,15937,21254
874,1,900,1631,2439,5080,7791,10927,15111,19296
875,0,273,508,1366,4671,7576,9946,12194,13872
876,0,167,448,930,2607,4215,6272,8596,11549
877,0,669,1298,3261,4645,6020,9643,13003,14637
878,0,419,584,965,2121,3571,4779,7157,10036
879,0,534,955,1275,2933,3436,5102,6736,8313
883,0,0,19,328,1314,2296,4490,5567,7774
886,16,34385,42726,53465,80274,127874,111645,150336,137942
887,0,0,0,163,728,948,1482,1501,2263
891,0,824,2117,3511,5999,7779,9818,13773,16391
892,0,0,0,0,240,624,906,1060,1349
893,0,0,0,0,0,235,461,490,738
894,0,0,0,0,302,862,1169,1914,2626
